,Name,Team,Age,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng,ID,WAR
1193,Marcus Stroman,NYM,28,"Medford, NY",USA,,,Duke,,,573186,4.3100000000000005
15,Nick Ahmed,ARI,30,"Springfield, MA",USA,,,Connecticut,,,605113,4.31
536,Bryce Harper,PHI,27,"Las Vegas, NV",USA,,,CC of Southern Nevada,,,547180,4.26
866,Aaron Nola,PHI,26,"Baton Rouge, LA",USA,,,Louisiana State,,,605400,4.15
557,Kyle Hendricks,CHC,30,"Newport Beach, CA",USA,,,Dartmouth,,,543294,4.09
451,Mitch Garver,MIN,29,"Albuquerque, NM",USA,,,New Mexico,,,641598,4.08
445,Brett Gardner,NYY,36,"Holly Hill, SC",USA,,,College of Charleston,,,458731,4.07
1255,Justin Turner,LAD,35,"Long Beach, CA",USA,,,Cal State Fullerton,,,457759,4.07
1008,Bryan Reynolds,PIT,25,"Baltimore, MD",USA,,,Vanderbilt,,,668804,4.06
246,Mike Clevinger,CLE,29,"Jacksonville, FL",USA,,,Seminole State College (FL),,,605182,4.05
930,Roberto Pérez,CLE,31,Mayaguez,Puerto Rico,,,Florida Gateway College,,,547379,4.02
358,Tommy Edman,STL,24,"San Diego, CA",USA,,,Stanford,,,669242,3.94
1217,Mike Tauchman,NYY,29,"Palatine, IL",USA,,,Bradley,,,643565,3.84
44,Brian Anderson,MIA,26,"Edmond, OK",USA,,,Arkansas,,,605119,3.72
171,Kris Bryant,CHC,28,"Las Vegas, NV",USA,,,San Diego,,,592178,3.72
778,James McCann,CWS,29,"Santa Barbara, CA",USA,,,Arkansas,,,543510,3.66
805,Whit Merrifield,KC,31,"Florence, SC",USA,,,South Carolina,,,593160,3.66
52,Tim Anderson,CWS,26,"Tuscaloosa, AL",USA,,,"East Central CC, MS",,,641313,3.66
146,Matthew Boyd,DET,29,"Mercer Island, WA",USA,,,Oregon State,,,571510,3.6599999999999997
491,Jon Gray,COL,28,"Shawnee, OK",USA,,,Oklahoma,,,592351,3.63
690,Ramón Laureano,OAK,25,Santo Domingo,Dominican Republic,,,Northeastern Oklahoma A&M,,,657656,3.58
