,Unnamed: 0,Name,Age,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng,Height (in),Ability Score
163,163,Tyler Dorsey,24,"Pasadena, CA",USA,,,University of Oregon,44.0448302,-123.0726055,"6'5""",5.8
164,164,Tyler Dorsey,24,"Pasadena, CA",USA,,,University of Oregon,44.0448302,-123.0726055,"6'5""",15.400000000000002
165,165,Damyean Dotson,25,"Houston, TX",USA,,,University of Houston,29.7199489,-95.3422334,"6'5""",17.0
168,168,Andre Drummond,26,"Mount Vernon, NY",USA,,,University of Connecticut,41.8077414,-72.2539805,"6'10""",37.8
169,169,Jared Dudley,34,"San Diego, CA",USA,,,Boston College,42.3355488,-71.16849450000001,"6'6""",9.8
170,170,Kris Dunn,26,"New London, CT",USA,,,Providence College,41.8440925,-71.4381653,"6'3""",23.4
171,171,Kevin Durant,31,"Washington, DC",USA,,,University of Texas at Austin,30.2849185,-97.7340567,"6'10""",40.2
174,174,Henry Ellenson,23,"Rice Lake, WI",USA,,,Marquette University,43.0388337,-87.92856669999999,"6'11""",11.0
175,175,Henry Ellenson,23,"Rice Lake, WI",USA,,,Marquette University,43.0388337,-87.92856669999999,"6'11""",10.8
176,176,Wayne Ellington,32,"Wynnewood, PA",USA,,,University of North Carolina,35.9049122,-79.0469134,"6'4""",12.6
177,177,Wayne Ellington,32,"Wynnewood, PA",USA,,,University of North Carolina,35.9049122,-79.0469134,"6'4""",16.8
178,178,Joel Embiid,26,Yaounde,Cameroon,,,University of Kansas,38.9543439,-95.2557961,"7'0""",47.40000000000001
179,179,James Ennis III,29,"Ventura, CA",USA,,,"California State University, Long Beach",33.7838235,-118.1140904,"6'6""",12.4
180,180,James Ennis III,29,"Ventura, CA",USA,,,"California State University, Long Beach",33.7838235,-118.1140904,"6'6""",10.3
183,183,Jawun Evans,23,"Greenville, SC",USA,,,Oklahoma State University,36.1211205,-97.06847669999999,"6'0""",4.4
184,184,Jawun Evans,23,"Greenville, SC",USA,,,Oklahoma State University,36.1211205,-97.06847669999999,"6'0""",0.0
185,185,Tyreke Evans,30,"Chester, PA",USA,,,University of Memphis,35.1187498,-89.9374928,"6'6""",16.6
187,187,Kenneth Faried,30,"Newark, NJ",USA,,,Morehead State University,38.1886162,-83.4315122,"6'8""",9.5
188,188,Kenneth Faried,30,"Newark, NJ",USA,,,Morehead State University,38.1886162,-83.4315122,"6'8""",23.300000000000004
189,189,Derrick Favors,28,"Atlanta, GA",USA,,,Georgia Institute of Technology,33.7756178,-84.39628499999999,"6'9""",22.5
191,191,Raymond Felton,35,"Marion, SC",USA,,,University of North Carolina,35.9049122,-79.0469134,"6'1""",7.2
193,193,Yogi Ferrell,26,"Indianapolis, IN",USA,,,Indiana University,39.1754487,-86.512627,"6'0""",9.9
194,194,Dorian Finney-Smith,26,"Portsmouth, VA",USA,,,University of Florida,29.6436325,-82.3549302,"6'7""",14.9
195,195,Bryn Forbes,26,"Lansing, MI",USA,,,Michigan State University,42.701848,-84.4821719,"6'2""",17.3
197,197,De'Aaron Fox,22,"New Orleans, LA",USA,,,University of Kentucky,38.0306511,-84.5039697,"6'3""",30.600000000000005
198,198,Tim Frazier,29,"Houston, TX",USA,,,Pennsylvania State University,40.7982133,-77.8599084,"6'0""",12.9
199,199,Tim Frazier,29,"Houston, TX",USA,,,Pennsylvania State University,40.7982133,-77.8599084,"6'0""",12.8
201,201,Jimmer Fredette,31,"Glens Falls, NY",USA,,,Brigham Young University,40.2518435,-111.6493156,,6.7
202,202,Channing Frye,36,"White Plains, NY",USA,,,University of Arizona,32.2318851,-110.9501094,"6'11""",5.9
203,203,Markelle Fultz,21,"Upper Marlboro, MD",USA,,,University of Washington,47.6912794,-122.3176141,"6'3""",16.099999999999998
205,205,Langston Galloway,28,"Baton Rouge, LA",USA,,,Saint Joseph's University,39.9951217,-75.23993279999999,"6'1""",12.2
211,211,Rudy Gay,33,"Brooklyn, NY",USA,,,University of Connecticut,41.8077414,-72.2539805,"6'8""",24.4
212,212,Paul George,29,"Palmdale, CA",USA,,,"California State University, Fresno",36.8133631,-119.7460947,"6'8""",42.8
213,213,Taj Gibson,34,"Brooklyn, NY",USA,,,University of Southern California,34.0223519,-118.285117,"6'9""",19.8
214,214,Harry Giles III,21,"Winston-Salem, NC",USA,,,Duke University,36.0014258,-78.9382286,"6'11""",13.2
218,218,Aaron Gordon,24,"San Jose, CA",USA,,,University of Arizona,32.2318851,-110.9501094,"6'8""",28.4
219,219,Eric Gordon,31,"Indianapolis, IN",USA,,,Indiana University,39.1754487,-86.512627,"6'3""",21.3
222,222,Treveon Graham,26,"Washington, DC",USA,,,Virginia Commonwealth University,37.5483122,-77.4526805,"6'5""",9.9
223,223,Jerami Grant,26,"Portland, OR",USA,,,Syracuse University,43.0391534,-76.1351158,"6'8""",21.8
224,224,Jerian Grant,27,"Silver Spring, MD",USA,,,University of Notre Dame,41.7055716,-86.2353388,"6'4""",9.2
226,226,Danny Green,32,"North Babylon, NY",USA,,,University of North Carolina,35.9049122,-79.0469134,"6'6""",17.5
227,227,Draymond Green,30,"Saginaw, MI",USA,,,Michigan State University,42.701848,-84.4821719,"6'6""",24.1
229,229,JaMychal Green,29,"Montgomery, AL",USA,,,University of Alabama,33.2140233,-87.5391418,"6'8""",18.200000000000006
230,230,JaMychal Green,29,"Montgomery, AL",USA,,,University of Alabama,33.2140233,-87.5391418,"6'8""",16.7
231,231,Jeff Green,33,"Cheverly, MD",USA,,,Georgetown University,38.9076089,-77.07225849999999,"6'8""",19.200000000000006
232,232,Blake Griffin,31,"Oklahoma City, OK",USA,,,University of Oklahoma,35.2058936,-97.4457137,"6'9""",38.5
233,233,Daniel Hamilton,24,"Los Angeles, CA",USA,,,University of Connecticut,41.8077414,-72.2539805,"6'7""",7.1
235,235,Tim Hardaway Jr.,28,"Orinda, CA",USA,,,University of Michigan,42.2780436,-83.7382241,"6'5""",26.3
236,236,Tim Hardaway Jr.,28,"Orinda, CA",USA,,,University of Michigan,42.2780436,-83.7382241,"6'5""",21.3
237,237,James Harden,30,"Los Angeles, CA",USA,,,Arizona State University,33.4242399,-111.9280527,"6'5""",52.90000000000001
238,238,Maurice Harkless,26,"Queens, NY",USA,,,St. John's University,40.7220627,-73.79421119999999,"6'7""",15.4
239,239,Montrezl Harrell,26,"Tarboro, NC",USA,,,University of Louisville,38.2122761,-85.75850229999999,"6'7""",27.3
240,240,Devin Harris,37,"Milwaukee, WI",USA,,,University of Wisconsin,43.076592,-89.4124875,"6'3""",10.4
241,241,Gary Harris,25,"Fishers, IN",USA,,,Michigan State University,42.701848,-84.4821719,"6'4""",19.2
242,242,Joe Harris,28,"Chelan, WA",USA,,,University of Virginia,38.0335529,-78.5079772,"6'6""",20.7
243,243,Tobias Harris,27,"Islip, NY",USA,,,University of Tennessee,35.9544013,-83.92945639999999,"6'8""",32.5
244,244,Tobias Harris,27,"Islip, NY",USA,,,University of Tennessee,35.9544013,-83.92945639999999,"6'8""",29.9
