,Name,Age,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng,Height (in),Points/Game,Assists/Game,Steals/Game,Rebounds/Game,Blocks/Game,Ability Score
187,Kenneth Faried,30,"Newark, NJ",USA,,,Morehead State University,,,"6'8""",5.1,0.2,0.2,3.7,0.3,9.5
188,Kenneth Faried,30,"Newark, NJ",USA,,,Morehead State University,,,"6'8""",12.9,0.7,0.6,8.3,0.8,23.300000000000004
189,Derrick Favors,28,"Atlanta, GA",USA,,,Georgia Institute of Technology,,,"6'9""",11.8,1.2,0.7,7.4,1.4,22.5
190,Cristiano Felicio,27,Pouso Alegre,Brazil,,,,,,"6'10""",4.0,0.6,0.2,3.6,0.1,8.499999999999998
191,Raymond Felton,35,"Marion, SC",USA,,,University of North Carolina,,,"6'1""",4.2,1.5,0.3,1.0,0.2,7.2
192,Terrance Ferguson,21,"Tulsa, OK",USA,,,,,,"6'6""",6.9,1.0,0.5,1.9,0.2,10.5
193,Yogi Ferrell,26,"Indianapolis, IN",USA,,,Indiana University,,,"6'0""",5.9,1.9,0.5,1.5,0.1,9.9
194,Dorian Finney-Smith,26,"Portsmouth, VA",USA,,,University of Florida,,,"6'7""",7.5,1.2,0.9,4.8,0.5,14.9
195,Bryn Forbes,26,"Lansing, MI",USA,,,Michigan State University,,,"6'2""",11.8,2.1,0.5,2.9,0.0,17.3
196,Evan Fournier,27,Saint-Maurice,France,,,,,,"6'7""",15.1,3.6,0.9,3.2,0.1,22.900000000000002
197,De'Aaron Fox,22,"New Orleans, LA",USA,,,University of Kentucky,,,"6'3""",17.3,7.3,1.6,3.8,0.6,30.600000000000005
198,Tim Frazier,29,"Houston, TX",USA,,,Pennsylvania State University,,,"6'0""",5.0,4.4,0.5,2.9,0.1,12.9
199,Tim Frazier,29,"Houston, TX",USA,,,Pennsylvania State University,,,"6'0""",6.2,3.5,0.4,2.6,0.1,12.8
200,Melvin Frazier Jr.,23,"New Orleans, LA",USA,,,,,,"6'5""",1.5,0.1,0.1,0.5,0.0,2.2
201,Jimmer Fredette,31,"Glens Falls, NY",USA,,,Brigham Young University,,,,3.7,1.3,0.5,1.2,0.0,6.7
202,Channing Frye,36,"White Plains, NY",USA,,,University of Arizona,,,"6'11""",3.6,0.6,0.2,1.4,0.1,5.8999999999999995
203,Markelle Fultz,21,"Upper Marlboro, MD",USA,,,University of Washington,,,"6'3""",8.2,3.1,0.9,3.6,0.3,16.099999999999998
204,Danilo Gallinari,31,Sant'Angelo Lodigiano,Italy,,,,,,"6'10""",19.8,2.6,0.7,6.1,0.3,29.5
205,Langston Galloway,28,"Baton Rouge, LA",USA,,,Saint Joseph's University,,,"6'1""",8.4,1.1,0.5,2.1,0.1,12.2
