,Name,Age,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng,Height (in),Points/Game,Assists/Game,Steals/Game,Rebounds/Game,Blocks/Game,Ability Score
632,Darius Bazley,19,,,,,,,,"6'8""",0,0,0,0,0,0
633,Javon Bess,24,"Pickerington, OH",USA,,,St. Louis,,,"6'5""",0,0,0,0,0,0
634,Justin Bibbs,24,"Dayton, OH",USA,,,,,,"6'5""",0,0,0,0,0,0
635,Goga Bitadze,20,Sagarejo,Georgia,,,,,,"6'11""",0,0,0,0,0,0
636,Keljin Blevins,24,"Hot Springs, AR",USA,,,Montana State,,,"6'6""",0,0,0,0,0,0
637,Trevon Bluiett,25,"Indianapolis, IN",USA,,,,,,"6'5""",0,0,0,0,0,0
638,Bol Bol,20,Khartoum,Sudan,,,Oregon,,,"7'2""",0,0,0,0,0,0
639,Marques Bolden,22,,,,,Duke,,,"6'10""",0,0,0,0,0,0
640,Jordan Bone,22,"Nashville, TN",USA,,,Tennessee,,,"6'3""",0,0,0,0,0,0
641,Phil Booth,24,"Bltimore, MD",USA,,,Villanova,,,"6'2""",0,0,0,0,0,0
642,Brian Bowen II,21,"Saginaw, MI",USA,,,,,,"6'6""",0,0,0,0,0,0
643,Ky Bowman,22,"Havelock, NC",USA,,,Boston College,,,"6'1""",0,0,0,0,0,0
644,Jacobi Boykins,25,,USA,,,Louisiana Tech,,,"6'6""",0,0,0,0,0,0
645,Jarrell Brantley,23,"Charleston, SC",USA,,,College of Charleston,,,"6'5""",0,0,0,0,0,0
646,Ignas Brazdeikis,21,Kaunas,Lithuania,,,Michigan,,,"6'6""",0,0,0,0,0,0
647,Oshae Brissett,21,"Toronto, ON",Canada,,,Syracuse,,,"6'7""",0,0,0,0,0,0
648,Armoni Brooks,21,,USA,,,Houston,,,"6'3""",0,0,0,0,0,0
649,Scott Brooks,2,"French Camp, CA",USA,,,"University of California, Irvine",,,,0,0,0,0,0,0
650,Barry Brown,23,"At. Petersburg, FL",USA,,,Kansas State,,,"6'3""",0,0,0,0,0,0
651,Bobby Brown,35,"Versailles, OH",USA,,,Miami University,,,,0,0,0,0,0,0
652,Brett Brown,2,,,,,,,,,0,0,0,0,0,0
653,Jabari Brown,27,,USA,,,Missouri,,,"6'4""",0,0,0,0,0,0
654,Markel Brown,28,"Pineville, LA",USA,,,Oklahoma State University,,,"6'3""",0,0,0,0,0,0
655,Moses Brown,20,"New York, NY",USA,,,UCLA,,,"7'2""",0,0,0,0,0,0
656,Charles Brown Jr.,23,Imhotep Institute Charter,USA,,,,,,"6'6""",0,0,0,0,0,0
657,Nicolas Brussino,27,Santa Fe,Argentina,,,,,,,0,0,0,0,0,0
658,Kobe Bryant,41,"Philadelphia, PA",USA,,,,,,"6'6""",0,0,0,0,0,0
659,Michael Budenholzer,2,,,,,,,,,0,0,0,0,0,0
660,Devontae Cacok,23,"Chicago, IL",USA,,,UNC Wilmington,,,"6'8""",0,0,0,0,0,0
661,Vlatko Cancar,23,Koper,Slovenia,,,,,,"6'8""",0,0,0,0,0,0
662,Rick Carlisle,2,"Ogdensburg, NY",USA,,,University of Virginia,,,,0,0,0,0,0,0
663,Jordan Caroline,24,"Champagne, IL",USA,,,Nevada-Reno,,,"6'7""",0,0,0,0,0,0
664,Tony Carr,22,,USA,,,Penn State,,,"6'5""",0,0,0,0,0,0
665,Zylan Cheatham,24,"Phoenix, AZ",USA,,,Arizona State,,,"6'5""",0,0,0,0,0,0
666,Brandon Clarke,23,"Vancouver, BC",Canada,,,Gonzaga,,,"6'8""",0,0,0,0,0,0
667,Gian Clavell,26,Caguas,Puerto Rico,,,Colorado State University,,,,0,0,0,0,0,0
668,Nicolas Claxton,21,"Greenville, SC",USA,,,Georgia,,,"6'11""",0,0,0,0,0,0
669,Chris Clemons,22,"Raleigh, nC",USA,,,Campbell,,,"5'9""",0,0,0,0,0,0
670,Antonius Cleveland,26,"Memphis, TN",USA,,,Southeast Missouri State University,,,,0,0,0,0,0,0
671,Steve Clifford,2,,,,,,,,,0,0,0,0,0,0
672,Philip Cofer,23,,USA,,,Florida State,,,"6'8""",0,0,0,0,0,0
673,Amir Coffey,22,"Hopkins, MN",USA,,,Minnesota,,,"6'7""",0,0,0,0,0,0
674,Kyle Collinsworth,28,"Provo, UT",USA,,,Brigham Young University,,,"6'6""",0,0,0,0,0,0
675,Tyler Cook,22,"St. Louis, MO",USA,,,Iowa,,,"6'9""",0,0,0,0,0,0
676,Markel Crawford,25,,,,,,,,"6'4""",0,0,0,0,0,0
677,Jarrett Culver,21,"Lubbock, TX",USA,,,Texas Tech,,,"6'6""",0,0,0,0,0,0
678,Cristiano Da Silva Felicio,27,,,,,,,,"6'9""",0,0,0,0,0,0
679,Jon Davis,23,,USA,,,Charlotte,,,"6'2""",0,0,0,0,0,0
680,Terence Davis,22,"Southaven, MI",USA,,,Ole Miss,,,"6'4""",0,0,0,0,0,0
681,Branden Dawson,27,"Gary, IN",USA,,,Michigan State University,,,"6'6""",0,0,0,0,0,0
682,Cody Demps,26,,,,,,,,"6'4""",0,0,0,0,0,0
683,Daniel Dixon,26,,USA,,,William & Mary,,,"6'6""",0,0,0,0,0,0
684,Billy Donovan,2,"Rockville Centre, NY",USA,,,Providence College,,,,0,0,0,0,0,0
685,Luguentz Dort,20,"Montreal, QC",Canada,,,Arizona State,,,"6'3""",0,0,0,0,0,0
686,Sekou Doumbouya,19,Conakry,Guinea,,,,,,"6'8""",0,0,0,0,0,0
687,Milton Doyle,26,"Chicago, IL",USA,,,Loyola University of Chicago,,,"6'4""",0,0,0,0,0,0
688,Carsen Edwards,22,,,,,Purdue,,,"5'11""",0,0,0,0,0,0
689,Tyler Ennis,25,Brampton,Canada,,,Syracuse University,,,"6'3""",0,0,0,0,0,0
690,Tacko Fall,24,Dakar,Senegal,,,Central Florida,,,"7'5""",0,0,0,0,0,0
691,Carrick Felix,29,"Las Vegas, AZ",USA,,,Arizona State University,,,"6'6""",0,0,0,0,0,0
692,Bruno Fernando,21,Luanda,Angola,,,Maryland,,,"6'9""",0,0,0,0,0,0
693,Robert Franks,23,"Seattle, WA",USA,,,Washington State,,,"6'8""",0,0,0,0,0,0
694,Michael Frazier,26,,,,,,,,"6'3""",0,0,0,0,0,0
695,Kenny Gabriel,30,,USA,,,Auburn,,,"6'8""",0,0,0,0,0,0
696,Wenyen Gabriel,23,Khartoum,Sudan,,,,,,"6'9""",0,0,0,0,0,0
697,Abdul Gaddy,28,"Tacoma, WA",USA,,,,,,"6'3""",0,0,0,0,0,0
698,Daniel Gafford,21,,,,,Arkansas,,,"6'10""",0,0,0,0,0,0
699,Darius Garland,20,"Gary, IN",USA,,,Vanderbilt,,,"6'1""",0,0,0,0,0,0
700,Kevin Garnett,43,"Mauldin, SC",USA,,,,,,,0,0,0,0,0,0
701,Kaiser Gates,23,"Atlanta, GA",USA,,,Xavier,,,"6'7""",0,0,0,0,0,0
702,Alvin Gentry,2,,,,,,,,,0,0,0,0,0,0
703,Jonathan Gibson,32,"West Covina, CA",USA,,,New Mexico State University,,,,0,0,0,0,0,0
704,Josh Gray,26,,,,,,,,,0,0,0,0,0,0
705,Erick Green,28,"Inglewood, CA",USA,,,Virginia Polytechnic Institute and State University,,,,0,0,0,0,0,0
706,Javonte Green,26,"Petersburg, VA",USA,,,Radford University,,,"6'4""",0,0,0,0,0,0
707,Marko Guduric,25,Priboj,Serbia,,,,,,"6'6""",0,0,0,0,0,0
708,Kyle Guy,22,"Indianapolis, IN",USA,,,Virginia,,,"6'1""",0,0,0,0,0,0
709,Isaac Haas,24,"Birmingham, AL",USA,,,,,,"7'2""",0,0,0,0,0,0
710,Rui Hachimura,22,Toyama,Japan,,,Gonzaga,,,"6'8""",0,0,0,0,0,0
711,Devon Hall,24,"Virginia Beach, VA",USA,,,Virginia,,,"6'5""",0,0,0,0,0,0
712,Donta Hall,22,,,,,,,,"6'9""",0,0,0,0,0,0
713,Jaylen Hands,21,"San Diego, CA",USA,,,UCLA,,,"6'3""",0,0,0,0,0,0
714,Jared Harper,22,,,,,Auburn,,,"5'10""",0,0,0,0,0,0
715,Jaxson Hayes,19,"Norman, OK",USA,,,Texas,,,"6'11""",0,0,0,0,0,0
716,Reggie Hearn,28,"Fort Wayne, IN",USA,,,Northwestern University,,,"6'5""",0,0,0,0,0,0
717,Myke Henry,27,"Chicago, IL",USA,,,DePaul University,,,"6'5""",0,0,0,0,0,0
718,Dewan Hernandez,23,"Miami, FL",USA,,,Miami,,,"6'10""",0,0,0,0,0,0
719,Tyler Herro,20,"Milwaukee, WI",USA,,,Kentucky,,,"6'5""",0,0,0,0,0,0
720,Kevin Hervey,23,"Dallas, TX",USA,,,Texas-Arlington,,,"6'9""",0,0,0,0,0,0
721,Stephan Hicks,28,,,,,,,,"6'4""",0,0,0,0,0,0
722,Ahmed Hill,25,"Fort Valley, GA",USA,,,Virginia Tech,,,"6'5""",0,0,0,0,0,0
723,Amir Hinton,23,"Philadelphia, PA",USA,,,Shaw University,,,"6'5""",0,0,0,0,0,0
724,Jaylen Hoard,21,Le Havre,France,,,Wake Forest,,,"6'8""",0,0,0,0,0,0
725,Fred Hoiberg,2,"Lincoln, NE",USA,,,Iowa State University,,,,0,0,0,0,0,0
726,Aric Holman,22,"Owensboro, KY",USA,,,Mississippi State,,,"6'9""",0,0,0,0,0,0
727,Daulton Hommes,23,"Bellingham, WA",USA,,,Western Washington,,,"6'8""",0,0,0,0,0,0
728,Scotty Hopson,30,,,,,,,,,0,0,0,0,0,0
729,Talen Horton-Tucker,19,"Chicago, IL",USA,,,Iowa State,,,"6'4""",0,0,0,0,0,0
730,William Howard,26,Montbrison,France,,,,,,"6'8""",0,0,0,0,0,0
731,De'Andre Hunter,22,"Philadelphia, PA",USA,,,Virginia,,,"6'7""",0,0,0,0,0,0
732,Vince Hunter,25,"Detroit, MI",USA,,,University of Texas at El Paso,,,,0,0,0,0,0,0
733,Jarrett Jack,36,"Fort Washington, MD",USA,,,Georgia Institute of Technology,,,"6'3""",0,0,0,0,0,0
734,Justin Jackson,23,"Toronto, ON",Canada,,,Maryland,,,"6'7""",0,0,0,0,0,0
735,Justin James,23,"Port St. Lucie, FL",USA,,,Wyoming,,,"6'7""",0,0,0,0,0,0
736,Mike James,29,"Copaigue, NY",USA,,,Duquesne University,,,"6'1""",0,0,0,0,0,0
737,DaQuan Jeffries,22,,,,,,,,"6'5""",0,0,0,0,0,0
738,Ty Jerome,22,,,,,Virginia,,,"6'5""",0,0,0,0,0,0
739,Cameron Johnson,24,"Moon Township, PA",USA,,,North Carolina,,,"6'8""",0,0,0,0,0,0
740,Chris Johnson,29,"Orlando, FL",USA,,,University of Dayton,,,"6'6""",0,0,0,0,0,0
741,Jaylen Johnson,23,,,,,,,,,0,0,0,0,0,0
742,Keldon Johnson,20,"Chesterfield, VA",USA,,,Kentucky,,,"6'5""",0,0,0,0,0,0
743,Mfiondu Kabengele,22,"Burlington, ON",Canada,,,Florida State,,,"6'9""",0,0,0,0,0,0
744,Steve Kerr,2,Beirut,Lebanon,,,University of Arizona,,,,0,0,0,0,0,0
745,Louis King,21,"Secaucus, NJ",USA,,,Oregon,,,"6'7""",0,0,0,0,0,0
746,V.J. King,23,"Akron, OH",USA,,,,,,"6'6""",0,0,0,0,0,0
747,Sagaba Konate,23,Bamako,Mali,,,West Virginia,,,"6'7""",0,0,0,0,0,0
748,John Konchar,24,,,,,Purdue Fort Wayne,,,"6'5""",0,0,0,0,0,0
749,Christ Koumadje,23,N'djamena,Chad,,,Florida State,,,"7'3""",0,0,0,0,0,0
750,David Kramer,23,Myjava,Slovakia,,,,,,"6'3""",0,0,0,0,0,0
751,Romeo Langford,20,"New Albany, IN",USA,,,Indiana,,,"6'4""",0,0,0,0,0,0
752,Terry Larrier,24,"The Bronx, NY",USA,,,Connecticut,,,"6'7""",0,0,0,0,0,0
753,Vic Law,24,,,,,,,,"6'7""",0,0,0,0,0,0
754,Jalen Lecque,19,"Manhattan, NY",USA,,,Brewster Academy,,,"6'4""",0,0,0,0,0,0
755,Nassir Little,20,"Pensacola, FL",USA,,,North Carolina,,,"6'5""",0,0,0,0,0,0
756,Sanjay Lumpkin,25,,USA,,,Northwestern,,,"6'6""",0,0,0,0,0,0
757,Sheldon Mac,27,,,,,,,,"6'5""",0,0,0,0,0,0
758,Josh Magette,30,"Birmingham, AL",USA,,,Alabama Huntsville,,,"6'1""",0,0,0,0,0,0
759,Matur Maker,22,,South Sudan,,,,,,"6'11""",0,0,0,0,0,0
760,Terance Mann,23,"Tilton, NH",USA,,,Florida State,,,"6'5""",0,0,0,0,0,0
761,Caleb Martin,24,"Reno, NV",USA,,,Nevada-Reno,,,"6'5""",0,0,0,0,0,0
762,Cody Martin,24,"Reno, NV",USA,,,,,,"6'5""",0,0,0,0,0,0
763,Jeremiah Martin,23,,,,,Memphis,,,"6'2""",0,0,0,0,0,0
764,Kelan Martin,24,,,,,Butler,,,"6'5""",0,0,0,0,0,0
765,Garrison Mathews,23,,,,,Lipscomb,,,"6'5""",0,0,0,0,0,0
766,Dakota Mathias,24,"Lima, OH",USA,,,Purdue,,,"6'4""",0,0,0,0,0,0
767,Jalen McDaniels,22,"Federal Way, WA",USA,,,San Diego State,,,"6'10""",0,0,0,0,0,0
768,KJ McDaniels,27,"Mobile, AL",USA,,,Clemson University,,,"6'6""",0,0,0,0,0,0
769,Jordan McLaughlin,24,"Pasadena, CA",USA,,,,,,"5'11""",0,0,0,0,0,0
770,Nate McMillan,2,"Raleigh, NC",USA,,,North Carolina State University,,,,0,0,0,0,0,0
771,Nicolo Melli,29,Reggio Emilia,Italy,,,,,,"6'9""",0,0,0,0,0,0
772,Eric Mika,25,"Salt Lake City, UT",USA,,,Brigham Young,,,"6'10""",0,0,0,0,0,0
773,Elijah Millsap,32,"Grambling, LA",USA,,,University of Alabama at Birmingham,,,"6'7""",0,0,0,0,0,0
774,Adam Mokoka,21,Paris,France,,,,,,"6'5""",0,0,0,0,0,0
775,Matt Mooney,23,"Niles, IL",USA,,,,,,"6'2""",0,0,0,0,0,0
776,Ben Moore,24,"Bolingbrook, IL",USA,,,Southern Methodist University,,,"6'8""",0,0,0,0,0,0
777,Doral Moore,23,"Louisville, KY",USA,,,,,,"7'1""",0,0,0,0,0,0
778,Ja Morant,20,"Dalzell, SC",USA,,,Murray State,,,"6'3""",0,0,0,0,0,0
779,Juwan Morgan,23,,,,,Indiana,,,"6'7""",0,0,0,0,0,0
780,Mychal Mulder,25,"Toronto, ON",Canada,,,,,,"6'3""",0,0,0,0,0,0
781,Xavier Munford,27,"Hillside, NJ",USA,,,University of Rhode Island,,,"6'3""",0,0,0,0,0,0
782,Dejounte Murray,23,"Seattle, WA",USA,,,University of Washington,,,"6'4""",0,0,0,0,0,0
783,Le'Bryan Nash,27,,,,,,,,,0,0,0,0,0,0
784,Tyler Nelson,24,,USA,,,Fairfield University,,,"6'3""",0,0,0,0,0,0
785,Malik Newman,23,,USA,,,Kansas,,,"6'3""",0,0,0,0,0,0
786,Zach Norvell Jr.,22,"Chicago, IL",USA,,,Gonzaga,,,"6'5""",0,0,0,0,0,0
787,Duane Notice,25,,Canada,,,South Carolina,,,"6'2""",0,0,0,0,0,0
788,Jaylen Nowell,20,"Seattle, WA",USA,,,Washington,,,"6'4""",0,0,0,0,0,0
789,Kendrick Nunn,24,"Chicago, IL",USA,,,,,,"6'2""",0,0,0,0,0,0
790,Shawn Occeus,22,,USA,,,Northeastern,,,"6'4""",0,0,0,0,0,0
791,Norense Odiase,24,"Crowley, TX",USA,,,,,,"6'8""",0,0,0,0,0,0
792,Mark Ogden Jr.,25,,USA,,,Dixie,,,"6'9""",0,0,0,0,0,0
793,Chuma Okeke,21,"Atlanta, GA",USA,,,Auburn,,,"6'8""",0,0,0,0,0,0
794,KZ Okpala,20,"Orange County, CA",USA,,,Stanford,,,"6'8""",0,0,0,0,0,0
795,Miye Oni,22,"Northridge, CA",USA,,,Yale,,,"6'5""",0,0,0,0,0,0
796,Randy Onwuasor,24,,USA,,,Louisiana State,,,"6'3""",0,0,0,0,0,0
797,Tariq Owens,24,"Baltimore, MD",USA,,,Texas Tech,,,"6'10""",0,0,0,0,0,0
798,James Palmer Jr.,23,"Washington, DC",USA,,,University of Nebraska-Lincoln,,,"6'5""",0,0,0,0,0,0
799,Jeremy Pargo,34,,USA,,,Gonzaga,,,"6'2""",0,0,0,0,0,0
800,Eric Paschall,23,"North Tarrytown, NY",USA,,,Villanova,,,"6'6""",0,0,0,0,0,0
801,Anzejs Pasecniks,24,Riga,Latvia,,,,,,"7'2""",0,0,0,0,0,0
802,Norvel Pelle,27,St. John's,USA,,,,,,"6'10""",0,0,0,0,0,0
803,Josh Perkins,24,,USA,,,Gonzaga,,,"6'2""",0,0,0,0,0,0
804,London Perrantes,25,"Los Angeles, CA",USA,,,University of Virginia,,,"6'2""",0,0,0,0,0,0
805,Lamar Peters,21,,,,,Mississippi State,,,"6'0""",0,0,0,0,0,0
806,Isaiah Pineiro,25,,USA,,,San Diego,,,"6'7""",0,0,0,0,0,0
807,Sir'Dominic Pointer,27,,USA,,,"St. John's, N.Y.",,,"6'6""",0,0,0,0,0,0
808,Vincent Poirier,26,Clamart,France,,,,,,"7'0""",0,0,0,0,0,0
809,Jordan Poole,20,"Milwaukee, WI",USA,,,Michigan,,,"6'4""",0,0,0,0,0,0
810,Gregg Popovich,2,,,,,,,,,0,0,0,0,0,0
811,Jontay Porter,20,"Columbia, MO",USA,,,Missouri,,,"6'11""",0,0,0,0,0,0
812,Kevin Porter Jr.,19,"Seattle, WA",USA,,,USC,,,"6'4""",0,0,0,0,0,0
813,Michael Porter Jr.,21,"Columbia, MS",USA,,,,,,"6'10""",0,0,0,0,0,0
814,Kristaps Porzingis,24,Liepaja,Latvia,,,,,,"7'3""",0,0,0,0,0,0
815,Jacob Pullen,30,"Maywood, IL",USA,,,Kansas State University,,,,0,0,0,0,0,0
816,Tim Quarterman,25,"Savannah, GA",USA,,,Louisiana State University,,,"6'6""",0,0,0,0,0,0
817,Levi Randolph,27,"Madison, AL",USA,,,,,,"6'6""",0,0,0,0,0,0
818,Xavier Rathan-Mayes,25,,,,,,,,,0,0,0,0,0,0
819,Josh Reaves,22,"Fairfax, VA",USA,,,Penn State,,,"6'4""",0,0,0,0,0,0
820,Cam Reddish,20,"Norristown, PA",USA,,,Duke,,,"6'8""",0,0,0,0,0,0
821,Willie Reed,29,"Kansas City, MO",USA,,,Saint Louis University,,,"6'11""",0,0,0,0,0,0
822,Naz Reid,20,"Asbury Park, NJ",USA,,,Louisiana State,,,"6'9""",0,0,0,0,0,0
823,Doc Rivers,2,"Chicago, IL",USA,,,Marquette University,,,,0,0,0,0,0,0
824,Andre Roberson,28,"Las Cruces, NM",USA,,,University of Colorado,,,"6'7""",0,0,0,0,0,0
825,Jeff Roberson,23,,,,,,,,"6'6""",0,0,0,0,0,0
826,Tyler Roberson,25,,USA,,,Syracuse,,,"6'9""",0,0,0,0,0,0
827,Alex Robinson,24,,USA,,,Texas Christian,,,"6'1""",0,0,0,0,0,0
828,Justin Robinson,22,,,,,Virginia Tech,,,"6'1""",0,0,0,0,0,0
829,Isaiah Roby,22,"Dixon, IL",USA,,,University of Nebraska-Lincoln,,,"6'8""",0,0,0,0,0,0
830,Angel Rodriguez,27,,Puerto Rico,,,Miami,,,"5'11""",0,0,0,0,0,0
831,Brandon Rush,34,"Kansas City, MO",USA,,,University of Kansas,,,"6'6""",0,0,0,0,0,0
832,Luka Samanic,20,Zagreb,Croatia,,,,,,"6'10""",0,0,0,0,0,0
833,Admiral Schofield,23,London,United Kingdom,,,Tennessee,,,"6'5""",0,0,0,0,0,0
834,Mike Scott,26,"Los Angeles, CA",USA,,,,,,"6'1""",0,0,0,0,0,0
835,Marial Shayok,24,"Ottawa, ON",Canada,,,Iowa State,,,"6'5""",0,0,0,0,0,0
836,Simisola Shittu,20,London,Canada,,,Vanderbilt,,,"6'10""",0,0,0,0,0,0
837,Chris Silva,23,,,,,South Carolina,,,"6'8""",0,0,0,0,0,0
838,Justin Simon,23,"Los Angeles, CA",USA,,,,,,"6'4""",0,0,0,0,0,0
839,Alen Smailagic,19,Belgrade,Serbia,,,,,,"6'10""",0,0,0,0,0,0
840,Quin Snyder,2,,,,,,,,,0,0,0,0,0,0
841,Erik Spoelstra,2,,,,,,,,,0,0,0,0,0,0
842,David Stockton,28,,,,,,,,"5'11""",0,0,0,0,0,0
843,Terry Stotts,2,,,,,,,,,0,0,0,0,0,0
844,Max Strus,24,"HIckory Hills, IL",USA,,,DePaul,,,"6'5""",0,0,0,0,0,0
845,Isaiah Taylor,25,"Hayward, CA",USA,,,University of Texas at Austin,,,"6'2""",0,0,0,0,0,0
846,Marquis Teague,27,,,,,,,,"6'2""",0,0,0,0,0,0
847,Mirza Teletovic,34,Mostar,Bosnia and Herzegovina,,,,,,"6'9""",0,0,0,0,0,0
848,Matt Thomas,25,"Decatur, IL",USA,,,Iowa State,,,"6'4""",0,0,0,0,0,0
849,Stephen Thompson,23,,USA,,,,,,"6'4""",0,0,0,0,0,0
850,Matisse Thybulle,23,,,,,Washington,,,"6'5""",0,0,0,0,0,0
851,Juan Toscano-Anderson,27,,USA,,,Marquette,,,"6'6""",0,0,0,0,0,0
852,Rayjon Tucker,22,"Charlotte, NC",USA,,,Arkansas-Little Rock,,,"6'3""",0,0,0,0,0,0
853,Jarrod Uthoff,26,"Cedar Rapids, IA",USA,,,University of Iowa,,,"6'9""",0,0,0,0,0,0
854,Denzel Valentine,26,"Lansing, MI",USA,,,Michigan State University,,,"6'4""",0,0,0,0,0,0
855,Anderson Varejao,37,Santa Teresa,Brazil,,,,,,,0,0,0,0,0,0
856,Gabe Vincent,23,"Stockton, CA",USA,,,,,,"6'3""",0,0,0,0,0,0
857,Dean Wade,23,"Wichita, KS",USA,,,Kansas State,,,"6'9""",0,0,0,0,0,0
858,Luke Walton,2,"San Diego, CA",USA,,,University of Arizona,,,,0,0,0,0,0,0
859,P.J. Washington,21,"Louisville, KY",USA,,,Kentucky,,,"6'7""",0,0,0,0,0,0
860,Tremont Waters,22,"New Haven, CT",USA,,,Louisiana State,,,"5'10""",0,0,0,0,0,0
861,Paul Watson,25,"Phoenix, AZ",USA,,,Fresno State,,,"6'6""",0,0,0,0,0,0
862,Quinndary Weatherspoon,23,"Canton, MS",USA,,,Mississippi State,,,"6'3""",0,0,0,0,0,0
863,James Webb III,26,"Augusta, GA",USA,,,Boise State University,,,"6'9""",0,0,0,0,0,0
864,Coby White,20,"Goldsboro, NC",USA,,,North Carolina,,,"6'4""",0,0,0,0,0,0
865,Andrew White III,26,"Richmond, VA",USA,,,Syracuse University,,,"6'7""",0,0,0,0,0,0
866,C.J. Wilcox,29,"Pleasant Grove, UT",USA,,,University of Washington,,,"6'4""",0,0,0,0,0,0
867,Damien Wilkins,40,"Washington, NC",USA,,,University of Georgia,,,,0,0,0,0,0,0
868,Elliott Williams,30,"Memphis, TN",USA,,,University of Memphis,,,,0,0,0,0,0,0
869,Grant Williams,21,"Houston, TX",USA,,,Tennessee,,,"6'6""",0,0,0,0,0,0
870,Nigel Williams-Goss,25,"Happy Valley, OR",USA,,,Gonzaga,,,"6'2""",0,0,0,0,0,0
871,Zion Williamson,19,"Salisbury, NC",USA,,,Duke,,,"6'6""",0,0,0,0,0,0
872,Kyle Wiltjer,27,"Portland, OR",USA,,,Gonzaga University,,,"6'10""",0,0,0,0,0,0
873,Dylan Windler,23,,,,,Belmont,,,"6'6""",0,0,0,0,0,0
874,Todd Withers,23,"Greensboro, NC",USA,,,Queens University,,,"6'7""",0,0,0,0,0,0
875,Jeff Withey,30,"San Diego, CA",USA,,,University of Kansas,,,,0,0,0,0,0,0
876,Nate Wolters,28,"St. Cloud, MN",USA,,,South Dakota State University,,,,0,0,0,0,0,0
877,Kenny Wooten,22,"Manteca, CA",USA,,,Oregon,,,"6'8""",0,0,0,0,0,0
878,Brandan Wright,32,"Nashville, TN",USA,,,University of North Carolina,,,"6'10""",0,0,0,0,0,0
879,Justin Wright-Foreman,22,"Laurelton, NY",USA,,,Hofstra,,,"6'0""",0,0,0,0,0,0
880,Tony Wroten,27,"Seattle, WA",USA,,,University of Washington,,,"6'6""",0,0,0,0,0,0
