,Name,Age,Position,Points
536,Corban Knight,29,C,4
537,Slater Koekkoek,26,D,1
538,Slater Koekkoek,26,D,6
539,Mikko Koivu,37,C,29
540,Leo Komarov,33,RW,26
541,Travis Konecny,23,RW,50
542,Anze Kopitar,32,C,62
545,Kalle Kossila,27,C,1
546,Jesperi Kotkaniemi,19,C,34
547,Ilya Kovalchuk,37,LW,36
548,Chris Kreider,28,C,53
549,David Krejci,33,C,73
550,Niklas Kronwall,39,D,27
551,Torey Krug,29,D,53
552,Marcus Kruger,29,C,12
553,Nikita Kucherov,26,RW,128
555,Ryan Kuffner,23,LW,0
556,Karson Kuhlman,24,C,5
557,Tom Kuhnhackl,28,RW,9
558,Dean Kukan,26,D,5
559,Brett Kulak,26,D,17
560,Dmitry Kulikov,29,D,6
561,Luke Kunin,22,C,17
562,Chris Kunitz,40,LW,11
563,Janne Kuokkanen,21,LW,0
564,Sean Kuraly,27,C,21
565,Evgeny Kuznetsov,27,C,72
566,Oliver Kylington,22,D,10
567,Jordan Kyrou,21,C,3
568,Kevin Labanc,24,RW,57
569,Andrew Ladd,34,LW,11
570,Paul LaDue,27,D,5
572,Patrik Laine,21,RW,50
573,Maxime Lajoie,22,D,15
574,Juho Lammikko,24,RW,6
575,Gabriel Landeskog,27,LW,75
576,Nick Lappin,27,RW,0
577,Dylan Larkin,23,C,73
578,Adam Larsson,27,D,20
579,Jacob Larsson,22,D,5
580,Johan Larsson,27,C,14
581,Brian Lashoff,29,D,1
582,Scott Laughton,25,C,34
583,Jeremy Lauzon,22,D,1
584,Curtis Lazar,25,C,0
585,Nick Leddy,29,D,26
586,Anders Lee,29,LW,51
587,Artturi Lehkonen,24,LW,31
589,Jori Lehtera,32,C,3
590,Brendan Leipsic,25,LW,5
591,Brendan Leipsic,25,LW,18
592,Josh Leivo,26,LW,6
593,Josh Leivo,26,LW,18
594,Brendan Lemieux,24,LW,12
595,Brendan Lemieux,24,LW,6
596,Joel L'Esperance,24,C,3
597,Kris Letang,32,D,56
598,Mark Letestu,35,C,0
599,Vinni Lettieri,25,C,3
600,Tyler Lewington,25,D,2
601,Trevor Lewis,33,C,12
602,Oscar Lindberg,28,LW,12
603,Oscar Lindberg,28,LW,8
604,Oskar Lindblom,23,LW,34
605,Esa Lindell,25,D,32
607,Ryan Lindgren,22,D,0
608,Anton Lindholm,25,D,0
609,Elias Lindholm,25,C,80
610,Hampus Lindholm,26,D,28
611,Par Lindholm,28,C,12
612,Par Lindholm,28,C,1
613,Bryan Little,32,C,41
614,Blake Lizotte,22,C,0
615,Ryan Lomberg,25,LW,0
616,Ben Lovejoy,36,D,7
617,Ben Lovejoy,36,D,2
618,Adam Lowry,27,LW,23
619,Milan Lucic,31,LW,20
620,Matt Luff,22,RW,11
621,Isac Lundestrom,20,C,2
625,Ilya Lyubushkin,26,D,4
626,Olli Maatta,25,D,15
627,Kurtis MacDermid,26,D,1
628,Andrew MacDonald,33,D,9
629,Jacob MacDonald,27,D,1
630,Mackenzie MacEachern,26,LW,5
631,Zack MacEwen,23,C,1
632,Derek MacKenzie,38,C,0
633,Nathan MacKinnon,24,C,99
634,Saku Maenalanen,25,RW,8
635,Josh Mahura,21,D,6
636,Denis Malgin,23,C,16
637,Evgeni Malkin,33,C,73
638,Brad Malone,30,C,0
639,Maxim Mamin,25,C,0
640,Andrew Mangiapane,24,LW,13
641,Brandon Manning,29,D,3
642,Brandon Manning,29,D,1
643,Josh Manson,28,D,17
644,Anthony Mantha,25,RW,48
645,Brad Marchand,31,LW,100
646,Jonathan Marchessault,29,C,60
647,Martin Marincin,28,D,5
649,Patrick Marleau,40,C,37
650,Mitchell Marner,22,RW,94
651,Cooper Marody,23,C,0
652,Pat Maroon,31,LW,29
653,Danick Martel,25,LW,2
654,Matt Martin,30,LW,14
655,Alec Martinez,32,D,18
656,Jordan Martinook,27,LW,25
657,Andreas Martinsen,29,LW,4
658,Mike Matheson,26,D,27
659,Auston Matthews,22,C,73
660,Scott Mayfield,27,D,19
661,Charlie McAvoy,22,D,28
662,Jake McCabe,26,D,14
663,Jared McCann,23,C,18
664,Jared McCann,23,C,17
665,Max McCormick,27,LW,1
666,Ian McCoshen,24,D,2
667,Connor McDavid,23,C,116
668,Ryan McDonagh,30,D,46
670,Brock McGinn,26,LW,26
671,Jamie McGinn,31,LW,7
672,Dylan McIlrath,27,D,0
673,Greg McKegg,27,C,11
676,Cody McLeod,35,LW,1
677,Cody McLeod,35,LW,0
678,Michael McLeod,22,C,4
679,Brayden McNabb,29,D,16
680,Adam McQuaid,33,D,5
681,Adam McQuaid,33,D,2
682,Wade Megan,29,C,1
683,Jaycob Megna,27,D,4
684,Timo Meier,23,RW,66
685,Dakota Mermis,26,D,0
686,Jon Merrill,28,D,15
687,Victor Mete,21,D,13
688,Marc Methot,34,D,0
689,Jacob Middleton,24,D,1
690,Sonny Milano,23,LW,1
691,Colin Miller,27,D,29
692,J.T. Miller,27,C,47
693,Kevan Miller,32,D,7
696,Casey Mittelstadt,21,C,25
697,Sean Monahan,25,C,84
699,Brandon Montour,26,D,25
700,Brandon Montour,26,D,10
701,John Moore,29,D,13
702,Trevor Moore,25,LW,8
703,Samuel Morin,24,D,0
704,Josh Morrissey,25,D,31
705,Joe Morrow,27,D,7
706,Tyler Motte,25,C,16
708,Mirco Mueller,25,D,11
709,Connor Murphy,27,D,13
710,Ryan Murphy,27,D,0
711,Ryan Murphy,27,D,1
713,Ryan Murray,26,D,29
714,Jake Muzzin,31,D,21
715,Jake Muzzin,31,D,16
716,Philippe Myers,23,D,2
717,Tyler Myers,30,D,31
718,Tyler Myers,30,D,0
719,Vladislav Namestnikov,27,C,31
720,Riley Nash,30,C,12
721,James Neal,32,LW,19
722,Martin Necas,21,C,2
724,Brock Nelson,28,C,53
725,Casey Nelson,27,D,6
726,Patrik Nemeth,28,D,10
728,Valeri Nichushkin,25,RW,10
729,Nino Niederreiter,27,RW,23
730,Nino Niederreiter,27,RW,31
731,Frans Nielsen,35,C,35
733,Matt Nieto,27,LW,23
734,Cristoval Nieves,26,C,10
735,Sami Niku,23,D,4
738,Jacob Nilsson,26,C,0
739,Matt Niskanen,33,D,25
740,Stefan Noesen,27,RW,8
741,Nelson Nogier,23,D,0
742,Jordan Nolan,30,C,2
743,Joakim Nordstrom,28,C,12
744,Tomas Nosek,27,LW,17
745,Ryan Nugent-Hopkins,27,C,71
746,Darnell Nurse,25,D,42
747,Markus Nutivaara,25,D,21
748,Alex Nylander,22,RW,4
749,William Nylander,23,RW,27
750,Gustav Nyquist,30,C,49
751,Gustav Nyquist,30,C,11
752,Logan O'Connor,23,RW,0
753,Jordan Oesterle,27,D,20
754,Kyle Okposo,32,RW,30
755,Jamie Oleksiak,27,D,11
756,Jamie Oleksiak,27,D,1
757,Victor Olofsson,24,LW,6
758,Daniel O'Regan,26,C,0
759,Ryan O'Reilly,29,C,78
760,Dmitry Orlov,28,D,29
761,Brooks Orpik,39,D,9
762,T.J. Oshie,33,RW,54
763,Xavier Ouellet,26,D,3
764,Alex Ovechkin,34,LW,89
765,Igor Ozhiganov,27,D,7
766,Magnus Paajarvi,29,LW,19
767,Max Pacioretty,31,LW,40
768,Jean-Gabriel Pageau,27,C,13
769,Ondrej Palat,29,LW,34
770,Kyle Palmieri,29,RW,50
771,Artemi Panarin,28,C,88
772,Richard Panik,29,RW,33
773,Cedric Paquette,26,C,17
774,Colton Parayko,26,D,28
775,Zach Parise,35,LW,61
777,David Pastrnak,23,RW,81
778,Greg Pateryn,29,D,7
779,Nolan Patrick,21,C,31
780,Nick Paul,25,LW,2
781,Joe Pavelski,35,C,66
782,Tanner Pearson,27,LW,1
783,Tanner Pearson,27,LW,14
784,Tanner Pearson,27,LW,12
785,Matthew Peca,26,C,10
786,Adam Pelech,25,D,21
787,Anthony Peluso,31,RW,0
788,Brendan Perlini,23,LW,6
789,Brendan Perlini,23,LW,15
790,Mathieu Perreault,32,C,31
791,David Perron,31,LW,48
792,Corey Perry,34,RW,10
793,Brett Pesce,25,D,30
794,Nicolas Petan,25,LW,3
795,Nicolas Petan,25,LW,1
797,Alex Petrovic,28,D,1
798,Alex Petrovic,28,D,1
799,Jeff Petry,32,D,46
800,Elias Pettersson,21,C,66
801,Marcus Pettersson,23,D,6
802,Marcus Pettersson,23,D,19
803,Dion Phaneuf,35,D,6
806,Blake Pietila,27,LW,1
807,Alex Pietrangelo,30,D,44
808,Lawrence Pilut,24,D,7
809,Neal Pionk,24,D,26
810,Brandon Pirri,29,C,19
811,Rem Pitlick,23,C,0
812,Tyler Pitlick,28,C,12
813,Tomas Plekanec,37,C,1
814,Ryan Poehling,21,C,3
815,Brayden Point,24,C,92
816,Roman Polak,33,D,9
817,Jason Pominville,37,RW,32
818,Derrick Pouliot,26,D,12
820,Nate Prosser,33,D,0
821,Dalton Prout,30,D,2
822,Ivan Provorov,23,D,27
823,Matt Puempel,27,LW,2
824,Jesse Puljujarvi,21,RW,9
825,Ryan Pulock,25,D,37
826,Tom Pyatt,33,LW,2
827,Mark Pysyk,28,D,11
828,John Quenneville,24,C,1
830,Alan Quine,27,C,6
832,Lukas Radil,29,C,11
833,Alexander Radulov,33,RW,73
834,Brogan Rafferty,24,D,0
835,Michael Raffl,31,LW,20
836,Rickard Rakell,26,C,44
