name_common,age,mlb_ID,player_ID,year_ID,team_ID,stint_ID,lg_ID,PA,G,Inn,runs_bat,runs_br,runs_dp,runs_field,runs_infield,runs_outfield,runs_catcher,runs_good_plays,runs_defense,runs_position,runs_position_p,runs_replacement,runs_above_rep,runs_above_avg,runs_above_avg_off,runs_above_avg_def,WAA,WAA_off,WAA_def,WAR,WAR_def,WAR_off,WAR_rep,salary,pitcher,teamRpG,oppRpG,oppRpPA_rep,oppRpG_rep,pyth_exponent,pyth_exponent_rep,waa_win_perc,waa_win_perc_off,waa_win_perc_def,waa_win_perc_rep,OPS_plus,TOB_lg,TB_lg
Rafael Bautista,25,622441,bautira01,2018,WSN,1,NL,6,9,16.3,-1.65,-0.03,-0.20,0.00,0.00,0.00,0.00,0.00,0.00,-0.09,0.00,0.20,-1.8,-2.0,-2.0,-0.1,-0.21,-0.21,-0.02,-0.19,-0.02,-0.19,0.02,NULL,N,4.10448,4.32337,0.07868,4.30170,1.836,1.848,0.4762,0.4762,0.4989,0.4977,-100.0000,2.008,2.568
Chris Beck,27,571476,beckch02,2018,CHW,1,AL,1,4,23.7,-0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,-0.1,-0.1,-0.1,0.0,-0.01,-0.01,0.00,-0.01,0.00,-0.01,0.00,NULL,Y,4.54865,4.57865,0.08136,4.56969,1.878,1.879,0.4969,0.4969,0.5000,0.4991,-100.0000,0.316,0.413
Chris Beck,27,571476,beckch02,2018,NYM,2,NL,1,6,10.3,-0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,-0.1,-0.1,-0.1,0.0,-0.01,-0.01,0.00,-0.01,0.00,-0.01,0.00,NULL,Y,4.30503,4.32337,0.07868,4.31795,1.848,1.849,0.4980,0.4980,0.5000,0.4994,-100.0000,0.316,0.402
Gordon Beckham,31,493596,beckhgo01,2018,SEA,1,AL,50,22,144.0,-3.55,0.66,-0.21,4.00,0.00,0.00,0.00,0.00,4.00,0.42,0.00,1.79,3.1,1.3,-2.7,4.4,0.16,-0.27,0.48,0.32,0.48,-0.11,0.16,100000,N,4.45683,4.57865,0.08136,4.49722,1.873,1.875,0.5063,0.4874,0.5209,0.4916,30.8810,14.923,17.833
Tim Beckham,28,542921,beckhti01,2018,BAL,1,AL,402,96,841.7,-8.90,0.68,-0.11,-6.00,-1.00,0.00,0.00,-1.00,-8.00,2.93,0.00,14.40,1.0,-13.4,-5.4,-5.1,-1.23,-0.48,-0.41,0.15,-0.41,0.90,1.38,3350000,N,4.52240,4.57865,0.08136,4.42861,1.876,1.871,0.4857,0.4942,0.4946,0.4844,81.2718,126.796,152.360
Cam Bedrosian,26,592135,bedroca01,2018,LAA,1,AL,0,4,64.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1100000,Y,4.57865,4.57865,0.08136,4.57865,1.880,1.880,0.5000,0.5000,0.5000,0.5000,NULL,0.000,0.000
Tyler Beede,25,595881,beedety01,2018,SFG,1,NL,2,2,7.7,-0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,-0.2,-0.2,-0.2,0.0,-0.02,-0.02,0.00,-0.02,0.00,-0.02,0.00,NULL,Y,4.21837,4.32337,0.07868,4.29087,1.843,1.847,0.4887,0.4887,0.5000,0.4965,-100.0000,0.635,0.808
Jalen Beeks,24,656222,beeksja02,2018,BOS,1,AL,0,0,6.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,4.57865,0.08136,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.000,0.000
Jalen Beeks,24,656222,beeksja02,2018,TBR,2,AL,2,1,44.3,-0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,-0.2,-0.2,-0.2,0.0,-0.02,-0.02,0.00,-0.02,0.00,-0.02,0.00,NULL,Y,4.34865,4.57865,0.08136,4.50699,1.866,1.876,0.4760,0.4760,0.5000,0.4926,-100.0000,0.630,0.822
Matt Belisle,38,279571,belisma01,2018,CLE,1,AL,0,0,10.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1500000,Y,NULL,4.57865,0.08136,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.000,0.000
