,Name,Age,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng,Ability Score
23,Trevor Ariza,34,"Miami, FL",USA,,,"University of California, Los Angeles",34.068921,-118.4451811,20.6
418,Greg Monroe,29,"New Orleans, LA",USA,,,Georgetown University,38.9076089,-77.07225849999999,20.6
484,Taurean Prince,26,"San Marcos, TX",USA,,,Baylor University,31.5469132,-97.1210998,20.500000000000004
252,Gordon Hayward,30,"Indianapolis, IN",USA,,,Butler University,39.8405491,-86.1708927,20.5
20,Carmelo Anthony,35,"New York, NY",USA,,,Syracuse University,43.0391534,-76.1351158,20.4
25,D.J. Augustin,32,"New Orleans, LA",USA,,,University of Texas at Austin,30.2849185,-97.7340567,20.1
4,Bam Adebayo,22,"Newark, NJ",USA,,,University of Kentucky,38.0306511,-84.5039697,20.1
37,Will Barton,29,"Baltimore, MD",USA,,,University of Memphis,35.1187498,-89.9374928,19.9
79,Jaylen Brown,23,"Marietta, GA",USA,,,University of California,37.8718992,-122.2585399,19.899999999999995
291,Josh Jackson,23,"San Diego, CA",USA,,,University of Kansas,38.9543439,-95.2557961,19.8
213,Taj Gibson,34,"Brooklyn, NY",USA,,,University of Southern California,34.0223519,-118.285117,19.8
423,Markieff Morris,30,"Philadelphia, PA",USA,,,University of Kansas,38.9543439,-95.2557961,19.700000000000006
42,Kent Bazemore,30,"Kelford, NC",USA,,,Old Dominion University,36.8841106,-76.304239,19.700000000000006
458,Kelly Oubre Jr.,24,"New Orleans, LA",USA,,,University of Kansas,38.9543439,-95.2557961,19.6
34,J.J. Barea,35,Mayaguez,Puerto Rico,,,Northeastern University,42.3398067,-71.0891717,19.6
577,Fred VanVleet,26,"Rockford, IL",USA,,,Wichita State University,37.7186367,-97.29414140000002,19.6
578,Noah Vonleh,24,"Haverhill, MA",USA,,,Indiana University,38.3449041,-85.819778,19.6
139,Jae Crowder,29,"Villa Rica, GA",USA,,,Marquette University,43.0388337,-87.92856669999999,19.6
12,Al-Farouq Aminu,29,"Atlanta, GA",USA,,,Wake Forest University,36.1355052,-80.2791958,19.4
84,Thomas Bryant,22,"Rochester, NY",USA,,,Indiana University,38.3449041,-85.819778,19.3
231,Jeff Green,33,"Cheverly, MD",USA,,,Georgetown University,38.9076089,-77.07225849999999,19.200000000000006
593,Derrick White,25,"Parker, CO",USA,,,University of Colorado,40.00758099999999,-105.2659417,19.2
241,Gary Harris,25,"Fishers, IN",USA,,,Michigan State University,42.701848,-84.4821719,19.2
14,Kyle Anderson,26,"New York, NY",USA,,,"University of California, Los Angeles",34.068921,-118.4451811,19.1
349,Alex Len,26,Antratsit,Ukraine,,,University of Maryland,38.9869183,-76.9425543,19.0
473,Mason Plumlee,30,"Fort Wayne, IN",USA,,,Duke University,36.0014258,-78.9382286,18.9
384,Wesley Matthews,33,"San Antonio, TX",USA,,,Marquette University,43.0388337,-87.92856669999999,18.8
481,Dwight Powell,28,Toronto,Canada,,,Stanford University,37.4274745,-122.169719,18.7
582,Dion Waiters,28,"Philadelphia, PA",USA,,,Syracuse University,43.0391534,-76.1351158,18.4
602,Marvin Williams,33,"Bremerton, WA",USA,,,University of North Carolina,35.9049122,-79.0469134,18.4
287,Jonathan Isaac,22,"New York, NY",USA,,,Florida State University,30.4418778,-84.2984889,18.3
229,JaMychal Green,29,"Montgomery, AL",USA,,,University of Alabama,33.2140233,-87.5391418,18.200000000000006
102,DeMarre Carroll,33,"Birmingham, AL",USA,,,University of Missouri,38.9403808,-92.32773750000001,18.1
52,Patrick Beverley,31,"Chicago, IL",USA,,,University of Arkansas,36.0686895,-94.1748471,18.0
85,Reggie Bullock,29,"Baltimore, MD",USA,,,University of North Carolina,35.9049122,-79.0469134,18.0
530,Marcus Smart,26,"Flower Mound, TX",USA,,,Oklahoma State University,36.1270236,-97.07372219999999,17.9
617,Tyler Zeller,30,"Visalia, CA",USA,,,University of North Carolina,35.9049122,-79.0469134,17.8
454,Kelly Olynyk,28,Toronto,Canada,,,Gonzaga University,47.66703210000001,-117.4014343,17.7
11,Kadeem Allen,27,"Wilmington, NC",USA,,,University of Arizona,32.2318851,-110.9501094,17.6
271,Rodney Hood,27,"Meridian, MS",USA,,,Duke University,36.0014258,-78.9382286,17.6
226,Danny Green,32,"North Babylon, NY",USA,,,University of North Carolina,35.9049122,-79.0469134,17.5
308,Tyler Johnson,27,"Grand Forks, ND",USA,,,"California State University, Fresno",36.8133631,-119.7460947,17.4
425,Monte Morris,24,"Grand Rapids, MI",USA,,,Iowa State University,42.0266187,-93.6464654,17.3
355,Jeremy Lin,31,"Palo Alto, CA",USA,,,Harvard University,42.3770029,-71.11666009999999,17.3
195,Bryn Forbes,26,"Lansing, MI",USA,,,Michigan State University,42.701848,-84.4821719,17.3
87,Trey Burke,27,"Columbus, OH",USA,,,University of Michigan,42.2780436,-83.7382241,17.200000000000006
419,E'Twaun Moore,31,"East Chicago, IN",USA,,,Purdue University,40.4237054,-86.92119459999999,17.2
386,Wesley Matthews,33,"San Antonio, TX",USA,,,Marquette University,43.0388337,-87.92856669999999,17.199999999999996
48,DeAndre' Bembry,25,"Charlotte, NC",USA,,,Saint Joseph's University,39.9951217,-75.23993279999999,17.1
269,Rondae Hollis-Jefferson,25,"Chester, PA",USA,,,University of Arizona,32.2318851,-110.9501094,17.0
165,Damyean Dotson,25,"Houston, TX",USA,,,University of Houston,29.7199489,-95.3422334,17.0
503,Terry Rozier,26,"Youngstown, OH",USA,,,University of Louisville,38.2122761,-85.75850229999999,17.0
177,Wayne Ellington,32,"Wynnewood, PA",USA,,,University of North Carolina,35.9049122,-79.0469134,16.8
261,George Hill,33,"Indianapolis, IN",USA,,,Indiana University-Purdue University Indianapolis,39.7743174,-86.1764194,16.8
97,Kentavious Caldwell-Pope,27,"Thomaston, GA",USA,,,University of Georgia,33.9480053,-83.3773221,16.7
230,JaMychal Green,29,"Montgomery, AL",USA,,,University of Alabama,33.2140233,-87.5391418,16.7
185,Tyreke Evans,30,"Chester, PA",USA,,,University of Memphis,35.1187498,-89.9374928,16.6
108,Alex Caruso,26,"College Station, TX",USA,,,Texas A&M University,30.6187558,-96.33647719999999,16.4
569,P.J. Tucker,34,"Raleigh, NC",USA,,,University of Texas at Austin,30.2849185,-97.7340567,16.4
441,Joakim Noah,35,"New York, NY",USA,,,University of Florida,29.6436325,-82.3549302,16.1
203,Markelle Fultz,21,"Upper Marlboro, MD",USA,,,University of Washington,47.6912794,-122.3176141,16.099999999999998
107,Michael Carter-Williams,28,"Hamilton, MA",USA,,,Syracuse University,43.0391534,-76.1351158,16.0
146,Ed Davis,30,"Washington, DC",USA,,,University of North Carolina,35.9049122,-79.0469134,16.0
570,Evan Turner,31,"Chicago, IL",USA,,,Ohio State University,40.0068363,-83.0306222,15.9
267,Justin Holiday,31,"Mission Hills, CA",USA,,,University of Washington,47.6912794,-122.3176141,15.9
361,Robin Lopez,32,"North Hollywood, CA",USA,,,Stanford University,37.4274745,-122.169719,15.8
531,Ish Smith,31,"Charlotte, NC",USA,,,Wake Forest University,36.1355052,-80.2791958,15.8
44,Malik Beasley,23,"Atlanta, GA",USA,,,Florida State University,30.4418778,-84.2984889,15.8
521,Iman Shumpert,29,"Oak Park, IL",USA,,,Georgia Institute of Technology,33.7756178,-84.39628499999999,15.8
408,Patty Mills,31,Canberra,Australia,,,Saint Mary's College of California,37.8413472,-122.1101354,15.8
270,Richaun Holmes,26,"Lockport, IL",USA,,,Bowling Green State University,41.3797788,-83.6300826,15.499999999999998
164,Tyler Dorsey,24,"Pasadena, CA",USA,,,University of Oregon,44.0448302,-123.0726055,15.400000000000002
238,Maurice Harkless,26,"Queens, NY",USA,,,St. John's University,40.7220627,-73.79421119999999,15.4
552,Garrett Temple,33,"Baton Rouge, LA",USA,,,Louisiana State University,30.4132579,-91.1800023,15.4
321,Cory Joseph,28,Toronto,Canada,,,University of Texas at Austin,30.2849185,-97.7340567,15.2
317,Tyus Jones,23,"Burnsville, MN",USA,,,Duke University,36.0014258,-78.9382286,14.999999999999998
438,Shabazz Napier,28,"Roxbury, MA",USA,,,University of Connecticut,41.8077414,-72.2539805,14.900000000000002
134,Allen Crabbe,28,"Los Angeles, CA",USA,,,University of California,37.8718992,-122.2585399,14.9
325,Luke Kennard,23,"Middletown, OH",USA,,,Duke University,36.0014258,-78.9382286,14.9
194,Dorian Finney-Smith,26,"Portsmouth, VA",USA,,,University of Florida,29.6436325,-82.3549302,14.9
