,Name,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng
288,Tyler Ennis,"Edmonton, AB",Canada,,,,,
289,Jonathan Ericsson,Karlskrona,Sweden,,,,,
290,Loui Eriksson,Gothenburg,Sweden,,,,,
291,Joel Eriksson Ek,Karlstad,Sweden,,,,,
292,Adam Erne,"New Haven, CT",USA,,,,,
293,Robby Fabbri,"Mississauga, ON",Canada,,,,,
294,Dante Fabbro,"Coquitlam, BC",Canada,,,,,
295,Radek Faksa,Vitkov,Czech Republic,,,,,
296,Justin Falk,"Snowflake, MB",Canada,,,,,
297,Oscar Fantenberg,Ljunby,Sweden,,,,,
298,Oscar Fantenberg,Ljunby,Sweden,,,,,
299,Jesper Fast,Nassjo,Sweden,,,,,
300,Justin Faulk,"South St. Paul, MN",USA,,,,,
301,Taylor Fedun,"Edmonton, AB",Canada,,,,,
302,Eric Fehr,"Winkler, MB",Canada,,,,,
303,Micheal Ferland,"Swan River, MB",Canada,,,,,
304,Kevin Fiala,St. Gallen,Switzerland,,,,,
305,Kevin Fiala,St. Gallen,Switzerland,,,,,
306,Valtteri Filppula,Vantaa,Finland,,,,,
307,Christian Fischer,"Chicago, IL",USA,,,,,
308,Haydn Fleury,"Carlyle, SK",Canada,,,,,
309,Marc-Andre Fleury,"Sorel, QC",Canada,,,,,
310,Warren Foegele,"Markham, ON",Canada,,,,,
311,Steven Fogarty,"Chambersburg, PA",USA,,,,,
312,Marcus Foligno,"Buffalo, NY",USA,,,,,
313,Nick Foligno,"Buffalo, NY",USA,,,,,
314,Christian Folin,Gothenburg,Sweden,,,,,
315,Christian Folin,Gothenburg,Sweden,,,,,
316,Derek Forbort,"Duluth, MN",USA,,,,,
317,Alex Formenton,"Barrie, ON",Canada,,,,,
318,Jakob Forsbacka-Karlsson,Stockholm,Sweden,,,,,
319,Filip Forsberg,Ostervala,Sweden,,,,,
320,Gustav Forsling,Linkoping,Sweden,,,,,
321,Alexandre Fortin,"Blainville, QC",Canada,,,,,
322,Cam Fowler,"Windsor, ON",Canada,,,,,
323,Pavel Francouz,Plzen,Czech Republic,,,,,
324,Trent Frederic,"St. Louis, MO",USA,,,,,
325,Mark Friedman,"Toronto, ON",Canada,,,,,
326,Tanner Fritz,"Grande Prairie, AB",Canada,,,,,
327,Martin Frk,Pelhrimov,Czech Republic,,,,,
328,Michael Frolik,Kladno,Czech Republic,,,,,
329,Kaden Fulcher,"Brigden, ON",Canada,,,,,
330,Kurtis Gabriel,"Newmarket, ON",Canada,,,,,
331,Sam Gagner,"London, ON",Canada,,,,,
332,Sam Gagner,"London, ON",Canada,,,,,
333,Alex Galchenyuk,"Milwaukee, WI",USA,,,,,
334,Brendan Gallagher,"Edmonton, AB",Canada,,,,,
335,Joseph Gambardella,"Staten Island, NY",USA,,,,,
336,Dylan Gambrell,"Bonney Lake, WA",USA,,,,,
337,Jake Gardiner,"Minnetonka, MN",USA,,,,,
338,Conor Garland,"Scituate, MA",USA,,,,,
339,Jason Garrison,"White Rock, BC",Canada,,,,,
340,Adam Gaudette,"Braintree, MA",USA,,,,,
341,Frederick Gaudreau,"Bromont, QC",Canada,,,,,
342,Johnny Gaudreau,"Salem, NJ",USA,,,,,
343,Brendan Gaunce,"Sudbury, ON",Canada,,,,,
344,Cameron Gaunce,"Sudbury, ON",Canada,,,,,
345,Frederik Gauthier,"Laval, QC",Canada,,,,,
346,Alexandar Georgiev,Ruse,Russia,,,,,
347,Timothy Gettinger,"Cleveland, OH",USA,,,,,
348,Ryan Getzlaf,"Regina, SK",Canada,,,,,
349,Brian Gibbons,"Braintree, MA",USA,,,,,
350,Brian Gibbons,"Braintree, MA",USA,,,,,
351,Christopher Gibson,Karkkila,Finland,,,,,
352,John Gibson,"Pittsburgh, PA",USA,,,,,
353,Brandon Gignac,"Repentigny, QC",Canada,,,,,
354,Dennis Gilbert,"Buffalo, NY",USA,,,,,
355,John Gilmour,"Montreal, QC",Canada,,,,,
356,Stephen Gionta,"Rochester, NY",USA,,,,,
357,Mark Giordano,"Toronto, ON",Canada,,,,,
358,Samuel Girard,"Roberval, QC",Canada,,,,,
359,Daniel Girardi,"Welland, ON",Canada,,,,,
360,Zemgus Girgensons,Riga,Latvia,,,,,
361,Claude Giroux,"Hearst, ON",Canada,,,,,
362,Ben Gleason,"Ortonville, MI",USA,,,,,
363,Luke Glendening,"Grand Rapids, MI",USA,,,,,
364,Nikolay Goldobin,Moscow,Russia,,,,,
365,Alex Goligoski,"Grand Rapids, MN",USA,,,,,
366,Cody Goloubef,"Mississauga, ON",Canada,,,,,
367,Barclay Goodrow,"Toronto, ON",Canada,,,,,
368,Shayne Gostisbehere,"Pembroke Pines, FL",USA,,,,,
369,Tyrell Goulbourne,"Edmonton, AB",Canada,,,,,
370,Yanni Gourde,"Saint-Narcisse, QC",Canada,,,,,
371,Michael Grabner,Villach,Austria,,,,,
372,Markus Granlund,Oulu,Finland,,,,,
373,Mikael Granlund,Oulu,Finland,,,,,
374,Mikael Granlund,Oulu,Finland,,,,,
375,Derek Grant,"Abbotsford, BC",Canada,,,,,
376,Derek Grant,"Abbotsford, BC",Canada,,,,,
377,Kevin Gravel,"Kingsford, MI",USA,,,,,
378,Ryan Graves,"Yarmouth, NS",Canada,,,,,
379,Anthony Greco,"Queens, NY",USA,,,,,
380,Mike Green,"Calgary, AB",Canada,,,,,
381,Andy Greene,"Trenton, MI",USA,,,,,
382,Jordan Greenway,"Canton, NY",USA,,,,,
