,name,college,lat,lng
367,Etdrick Bohannon,Auburn University at Montgomery,32.3697457,-86.1766584
368,Manute Bol,University of Bridgeport,41.164718,-73.1903142
369,Bill Bolger,Georgetown University,38.9076089,-77.07225849999999
370,Joel Bolomboy,Weber State University,41.19246820000001,-111.9444959
371,Doug Bolstorff,University of Minnesota,44.97399,-93.2277285
372,George Bon Salle,University of Illinois at Urbana-Champaign,40.1019523,-88.2271615
373,Phil Bond,University of Louisville,38.2122761,-85.75850229999999
374,Walter Bond,University of Minnesota,44.97399,-93.2277285
375,Dexter Boney,"University of Nevada, Las Vegas",36.1085197,-115.1431709
376,Ron Bonham,University of Cincinnati,39.1329219,-84.51495039999999
377,Anthony Bonner,Saint Louis University,38.6346955,-90.23405869999999
378,Matt Bonner,University of Florida,29.6436325,-82.3549302
379,Butch Booker,Cheyney University of Pennsylvania,39.933361,-75.5294669
380,Devin Booker,University of Kentucky,38.0306511,-84.5039697
381,Melvin Booker,University of Missouri,38.9403808,-92.32773750000001
382,Trevor Booker,Clemson University,34.6738437,-82.8368654
383,Josh Boone,University of Connecticut,41.8077414,-72.2539805
384,Ron Boone,Idaho State University,42.8627836,-112.429762
385,Calvin Booth,Pennsylvania State University,40.7982133,-77.8599084
386,Keith Booth,University of Maryland,38.9869183,-76.9425543
387,Bob Boozer,Kansas State University,39.1974437,-96.5847249
388,Carlos Boozer,Duke University,36.0014258,-78.9382286
389,Curtis Borchardt,Stanford University,37.4274745,-122.169719
390,Jake Bornheimer,Muhlenberg College,40.597544,-75.5101316
392,Ike Borsavage,Temple University,39.9805942,-75.1557376
393,Vince Boryla,University of Denver,39.6766174,-104.9618965
394,Chris Bosh,Georgia Institute of Technology,33.7756178,-84.39628499999999
395,Jim Bostic,New Mexico State University,32.2787745,-106.7479059
396,Lawrence Boston,University of Maryland,38.9869183,-76.9425543
397,Tom Boswell,University of South Carolina,33.9937575,-81.0299186
398,Ruben Boumtje-Boumtje,Georgetown University,38.9076089,-77.07225849999999
399,Don Boven,Western Michigan University,42.2826709,-85.6146739
400,Cal Bowdler,Old Dominion University,36.8841106,-76.304239
401,Bruce Bowen,"California State University, Fullerton",33.8829226,-117.8869261
402,Ryan Bowen,University of Iowa,41.6626963,-91.5548998
403,Tommie Bowens,Grambling State University,32.5206702,-92.7189283
404,Anthony Bowie,University of Oklahoma,35.2058936,-97.4457137
